datetime;make;model;year;engine;mileage;price;fuel_type;new
3/18/2021;Nissan;Qashqai;2010;1.5;69.0;9.75;D;true
7/28/2022;Opel;Astra;2003;2.2;280.0;2.05;D;true
10/29/2020;Audi;A8;1998;2.5;372.0;1.3;D;false
2/24/2021;Audi;A3;2004;2.0;162.0;4.5;D;true
5/28/2019;Volkswagen;Touareg;2012;3.0;150.0;23.99;D;false
8/28/2020;Mercedes;E;2008;2.2;221.0;6.6;D;false
02/02/2020;Bmw;5;1997;2.0;324.0;1.27;P;false
12/30/2019;Mitsubishi;Colt;1992;1.2;215.0;200;P;false
1/31/2020;Ford;Focus;2009;1.6;159.0;3.999;D;true
09/10/2022;Volkswagen;Passat(B7);2011;2.0;210.0;11.299;D;true
5/16/2021;Bmw;5;2003;3.0;250.0;6.7;D;true
09/11/2018;Audi;A6;2007;3.0;210.0;7.98;D;false
11/04/2017;Toyota;RAV4;2008;2.2;160.0;7.98;D;true
01/04/2019;Bmw;5;2004;2.5;232.0;5.9;D;false
10/13/2020;Ford;Focus;2006;1.6;250.0;2.6;P;true
08/06/2019;Peugeot;Partner;2000;1.9;288.0;1.7;D;false
11/25/2020;Toyota;RAV4;2002;2.0;170.0;4.99;D;false
05/01/2021;Volvo;XC90;2005;2.4;198.0;7.45;D;true
8/21/2019;Dodge;RAM;2006;5.7;168.0;9.9;P;false
05/09/2018;Bmw;3;1998;2.0;301.0;1.2;P;true
9/27/2020;Hyundai;Terracan;2006;2.9;225.0;4.5;D;true
10/29/2019;Chrysler;GrandVoyager;2007;2.8;118.0;6.5;D;true
3/18/2020;Volkswagen;Sharan;2007;1.9;235.0;4.45;D;false
3/17/2019;Chrysler;GrandVoyager;2000;2.5;299.0;1.699;D;false
9/17/2021;Ford;Transit;2004;2.0;291.0;2.85;D;false
7/31/2022;Skoda;Octavia;2013;2.0;160.0;12.7;D;false
8/21/2017;Nissan;X-Trail;2007;2.0;219.0;9.6;D;false
4/30/2018;Lexus;RX;2014;3.5;15.0;44.9;H;true
10/09/2018;Ford;Transit;2008;2.4;250.0;4.999;D;true
09/03/2018;Volkswagen;Golf2;1991;1.6;547.0;550;D;true
6/26/2021;Citroen;C4Picasso;2012;2.0;163.0;9.5;D;false
11/15/2018;Toyota;RAV4;2008;2.2;113.0;9.5;D;false
10/22/2021;Saab;09-may;2002;3.0;195.0;800;D;false
2/25/2018;Bmw;5;2010;3.0;131.0;19.9;D;true
9/19/2019;Audi;A7;2011;2.8;83.0;22.9;P;false
08/05/2019;Bmw;3;2000;3.0;336.0;3.9;D;true
4/16/2018;Chrysler;PTCruiser;2003;2.2;120.0;3.5;D;false
1/24/2021;Volvo;S80;2007;4.4;120.0;12.8;P;false
9/27/2022;Renault;Scenic;2004;1.6;260.0;2.75;P;true
09/03/2018;Mini;Clubman;2008;1.6;59.0;9.9;P;true
8/21/2021;Audi;A6;2006;3.0;210.0;7.6;D;false
10/19/2021;Audi;A5;2012;2.0;168.0;23.8;D;false
11/03/2017;Chrysler;Voyager;2006;2.5;177.0;3.55;D;true
03/02/2022;Mercedes;S;2000;5.0;300.0;4.45;P;true
3/24/2021;Volvo;V70;2005;2.4;243.0;3.45;D;false
03/12/2020;Renault;Trafic;2005;2.5;220.0;4.85;D;true
04/05/2021;Peugeot;Boxer;2009;2.2;257.0;4.7;D;true
12/12/2019;Volvo;S80;2006;2.4;222.0;4.65;D;false
1/21/2018;Opel;Zafira;2004;2.2;222.0;2.25;D;false
2/13/2021;Bmw;3;1999;2.3;269.0;2.75;P;false
03/11/2019;Toyota;RAV4;2007;2.2;158.0;7.75;D;true
11/21/2017;Peugeot;Expert;2001;2.0;254.0;1.6;D;false
08/10/2021;Chrysler;Pacifica;2005;3.8;186.0;2.4;P;false
11/08/2018;Audi;A6;1999;1.8;225.0;1.93;P;true
06/01/2020;Renault;Trafic;2011;2.0;168.0;7.85;D;false
08/12/2018;Citroen;Jumper;2009;2.2;280.0;4.6;D;false
